equipo,jugador,valor_millones_eur
Asociación Deportivo Pasto,Johan Caicedo,0.65
Asociación Deportivo Pasto,Felipe Jaramillo,0.2
Asociación Deportivo Pasto,Brayan Sánchez,0.15
Asociación Deportivo Pasto,Julián Quintero,0.0
Asociación Deportivo Pasto,David Guerrero,0.0
Asociación Deportivo Pasto,Juan Castilla,0.65
Asociación Deportivo Pasto,Juan Valencia,0.25
Asociación Deportivo Pasto,Kevin Rendón,0.15
Asociación Deportivo Pasto,Gustavo Charrupí,0.0
Asociación Deportivo Pasto,José Bernal,0.125
Asociación Deportivo Pasto,Gonzalo Ritacco,0.275
Asociación Deportivo Pasto,Willian Ordóñez,0.25
Asociación Deportivo Pasto,Gian Cabezas,0.0
Asociación Deportivo Pasto,Facundo Boné,0.65
Asociación Deportivo Pasto,Johan Campaña,0.5
Asociación Deportivo Pasto,Freddy Espinal,0.2
Asociación Deportivo Pasto,Diego Castillo,0.2
Asociación Deportivo Pasto,Yair Arboleda,0.175
Asociación Deportivo Pasto,John Méndez,0.1
Asociación Deportivo Pasto,Ray Vanegas,0.0
Asociación Deportivo Pasto,Déinner Quiñones,0.7
Asociación Deportivo Pasto,David Camacho,0.7
Asociación Deportivo Pasto,Gustavo Torres,0.3
Asociación Deportivo Pasto,Jeirye Caicedo,0.0
Asociación Deportivo Pasto,Patrick Preciado,0.0
Asociación Deportivo Pasto,Jeferson Rivas,0.25
Asociación Deportivo Pasto,Nicolás Morínigo,0.05
Asociación Deportivo Pasto,Santiago Tréllez,0.0
Asociación Deportivo Pasto,Jaider Victoria,0.0
Asociación Deportivo Pasto,Juan David Asprilla,0.0
Asociación Deportivo Pasto,Yamilo Zúñiga,0.0
Asociación Deportivo Pasto,Yoshan Valois,0.0
Alianza FC,Pier Grazziani,0.25
Alianza FC,Juan Camilo Chaverra,0.2
Alianza FC,Johan Wallens,0.15
Alianza FC,Antonio Simancas,0.0
Alianza FC,Julio Romero,0.0
Alianza FC,Kevin Moreno,0.4
Alianza FC,Jesús Figueroa,0.35
Alianza FC,Pedro Franco,0.275
Alianza FC,John García,0.25
Alianza FC,Kevin Aponzá,0.0
Alianza FC,Leonardo Saldaña,0.3
Alianza FC,Kalazán Suárez,0.25
Alianza FC,Efraín Navarro,0.55
Alianza FC,Carlos Pájaro,0.35
Alianza FC,Yilson Rosales,0.15
Alianza FC,Luis Miguel Mina,0.0
Alianza FC,Fabián Mosquera,0.45
Alianza FC,Freddy Flórez,0.4
Alianza FC,Royscer Colpa,0.4
Alianza FC,Luis Pérez,0.35
Alianza FC,Wiston Fernández,0.3
Alianza FC,Diego Mendoza,0.1
Alianza FC,Jesus Perez,0.0
Alianza FC,Rubén Manjarrés,0.55
Alianza FC,Jair Castillo,0.4
Alianza FC,Gilberto Junior Jiménez,0.01
Alianza FC,Josy Pérez,0.0
Alianza FC,Lucas Villa Valencia,0.0
Alianza FC,José Muñoz,0.05
Alianza FC,Johan Parra,0.0
Alianza FC,Charly Villegas,0.0
Alianza FC,Mayer Gil,0.35
Alianza FC,Sergio Aponzá,0.0
Alianza FC,Edwin Torres,0.7
Alianza FC,Jesús Muñoz,0.3
Alianza FC,Felipe Pardo,0.3
Alianza FC,Jhon Valoyes,0.0
Alianza FC,Misael Martínez,0.45
Alianza FC,Ayron del Valle,0.4
Alianza FC,Carlos Lucumí,0.35
Alianza FC,Andrés Rentería,0.25
Alianza FC,Cristian Vergara,0.25
Alianza FC,Diego Torres,0.05
Alianza FC,Jeison Osorio,0.0
Alianza FC,Kevin Cordoba,0.0
Alianza FC,Eudy Pérez,0.0
Envigado FC,Juan Montoya,0.15
Envigado FC,Rubén Escobar,0.125
Envigado FC,Andrés Tovar,0.05
Envigado FC,Matías Villa,0.0
Envigado FC,Jorman Mendoza,0.0
Envigado FC,Alejandro Chalarca,0.0
Envigado FC,Emanuel Londoño,0.0
Envigado FC,Darlinson Murillo,0.0
Envigado FC,Bleiner Agrón,0.4
Envigado FC,Santiago Noreña,0.3
Envigado FC,Jhon Gamboa,0.25
Envigado FC,Carlos Ramírez,0.2
Envigado FC,Heiler Mosquera,0.05
Envigado FC,Deiro Ochoa,0.0
Envigado FC,Juan Manuel Quejada,0.0
Envigado FC,Didier Palacios,0.0
Envigado FC,Brayan Murillo,0.1
Envigado FC,Juan Holguín,0.0
Envigado FC,Gendry Cuervo,0.55
Envigado FC,Neymar Uribe,0.0
Envigado FC,Julián Palacios,0.3
Envigado FC,Leandro Angulo,0.25
Envigado FC,Johan Hinestroza,0.1
Envigado FC,Tomás Soto,0.0
Envigado FC,Deiby Muñoz,0.0
Envigado FC,William Hurtado,0.45
Envigado FC,Daniel Zapata,0.3
Envigado FC,Edison López,0.2
Envigado FC,Luis Gómez,0.15
Envigado FC,Juan Aristizábal,0.0
Envigado FC,Juan José Cataño,0.0
Envigado FC,Andrés Vargas,0.0
Envigado FC,Daniel Arcila,0.55
Envigado FC,Nilzo Ramírez,0.0
Envigado FC,Rubio España,0.75
Envigado FC,Dairon Valencia,0.35
Envigado FC,Luis Díaz,0.85
Envigado FC,Dorlan Pabón,0.55
Envigado FC,John Deiby Araujo,0.25
Envigado FC,Didier Dawson,0.1
Envigado FC,Frey Berrío,0.0
Envigado FC,Carlos Torres,0.45
Envigado FC,Bayron Garcés,0.25
Envigado FC,Sebastián Chacón,0.0
Envigado FC,Miguel Marulanda,0.0
Envigado FC,Santiago Londoño,0.0
Boyacá Chicó FC,Darío Denis,0.4
Boyacá Chicó FC,Rogerio Caicedo,0.35
Boyacá Chicó FC,Cristian Baldovino,0.0
Boyacá Chicó FC,Branndon Zapata,0.0
Boyacá Chicó FC,Santiago Ramirez,0.0
Boyacá Chicó FC,Anyelo Saldana,0.0
Boyacá Chicó FC,Kevin Riascos,0.25
Boyacá Chicó FC,Brayam Palacios,0.175
Boyacá Chicó FC,Kévin Angulo,0.1
Boyacá Chicó FC,Juan Ojeda,0.075
Boyacá Chicó FC,Arlen Banguero,0.05
Boyacá Chicó FC,Frank Salas,0.0
Boyacá Chicó FC,Elian Peralta,0.0
Boyacá Chicó FC,Eduard Banguero,0.55
Boyacá Chicó FC,Diego Sánchez,0.2
Boyacá Chicó FC,Jonathan Herrera,0.15
Boyacá Chicó FC,Yaliston Martínez,0.1
Boyacá Chicó FC,Albin Valencia,0.0
Boyacá Chicó FC,José Ampudia,0.2
Boyacá Chicó FC,Yael López,0.175
Boyacá Chicó FC,Abdid Muñoz,0.025
Boyacá Chicó FC,Emmanuel García,0.0
Boyacá Chicó FC,Frank Lozano,0.5
Boyacá Chicó FC,Edgard Camargo,0.4
Boyacá Chicó FC,Andrés Aedo,0.05
Boyacá Chicó FC,Adrián Valencia,0.0
Boyacá Chicó FC,Jhonier Negrete,0.0
Boyacá Chicó FC,Juan Padra,0.0
Boyacá Chicó FC,Naysher Cabarcas,0.0
Boyacá Chicó FC,Yeiner Bedoya,0.0
Boyacá Chicó FC,Kevin Cortés,0.0
Boyacá Chicó FC,Kevin Londoño,0.45
Boyacá Chicó FC,Delio Ramírez,0.15
Boyacá Chicó FC,Juan Ostos,0.05
Boyacá Chicó FC,Sebastián Salazar,0.05
Boyacá Chicó FC,Nicolás Valencia,0.05
Boyacá Chicó FC,Juan Quiceno,0.0
Boyacá Chicó FC,Johan Bocanegra,0.5
Boyacá Chicó FC,Juan Marcelin,0.35
Boyacá Chicó FC,Wilmar Arango,0.25
Boyacá Chicó FC,Yordy Bedoya,0.05
Boyacá Chicó FC,Estefano Arango,0.4
Boyacá Chicó FC,Vladimir Hernández,0.35
Boyacá Chicó FC,Jacobo Pimentel,0.25
Boyacá Chicó FC,Ronald Valencia,0.0
Boyacá Chicó FC,Eric Krame,0.0
Boyacá Chicó FC,Jhonny Jordán,0.0
Boyacá Chicó FC,John Henry Sánchez,0.3
Boyacá Chicó FC,Luis Segura,0.0
Boyacá Chicó FC,Michael Gómez,0.2
Boyacá Chicó FC,Sebastián Colón,0.15
Boyacá Chicó FC,Hasan Vergara,0.125
Boyacá Chicó FC,Jairo Molina,0.05
Boyacá Chicó FC,Cristian Baquero,0.0
Boyacá Chicó FC,Carlos Cabarcas,0.0
Boyacá Chicó FC,Breyner Garzón,0.0
Boyacá Chicó FC,Sebastian Barrera Franco,0.0
Boyacá Chicó FC,Andrés Dieppa,0.0
Fortaleza CEIF,Juan Castillo,0.25
Fortaleza CEIF,Jordan García,0.1
Fortaleza CEIF,Cristian Santander,0.1
Fortaleza CEIF,Nelson Suárez,0.0
Fortaleza CEIF,Michael Barragán,0.0
Fortaleza CEIF,Stalin Valencia,0.5
Fortaleza CEIF,Yesid Díaz,0.25
Fortaleza CEIF,Edilson Cabeza,0.125
Fortaleza CEIF,Jhon Balanta,0.05
Fortaleza CEIF,Luis Escorcia,0.0
Fortaleza CEIF,Jeferson Medina,0.0
Fortaleza CEIF,Victor Lasso,0.0
Fortaleza CEIF,César Hinestroza,0.15
Fortaleza CEIF,Santiago Cuero,0.05
Fortaleza CEIF,Enmanuel Arrechea,0.0
Fortaleza CEIF,Sebastián Valencia,0.0
Fortaleza CEIF,Jonathan Marulanda,0.35
Fortaleza CEIF,Cristian Mosquera,0.25
Fortaleza CEIF,Diego Ruíz,0.15
Fortaleza CEIF,Edwin Cabezas,0.0
Fortaleza CEIF,Juan Díaz,0.3
Fortaleza CEIF,Leonardo Pico,0.3
Fortaleza CEIF,Ronaldo Pájaro,0.25
Fortaleza CEIF,Cristian Orozco,0.0
Fortaleza CEIF,Brandon Mejía,0.0
Fortaleza CEIF,Santiago Vivas,0.0
Fortaleza CEIF,Kevin Balanta,0.0
Fortaleza CEIF,Sebastián Ramírez,0.0
Fortaleza CEIF,Andrés Ricaurte,0.55
Fortaleza CEIF,Jhon Solís,0.25
Fortaleza CEIF,Jerónimo Barrera,0.05
Fortaleza CEIF,Andrés Arroyo,0.45
Fortaleza CEIF,Luis Sánchez,0.35
Fortaleza CEIF,Jhon Velásquez,0.3
Fortaleza CEIF,Kevin Salazar,0.25
Fortaleza CEIF,Jhon Palacios,0.0
Fortaleza CEIF,Kelvin Flórez,0.1
Fortaleza CEIF,Jhon Martínez,0.0
Fortaleza CEIF,David Camacho,0.7
Fortaleza CEIF,Andrés Amaya,0.275
Fortaleza CEIF,Sebastián Prieto,0.0
Fortaleza CEIF,Carlos Lucumí,0.35
Fortaleza CEIF,Santiago Córdoba,0.25
Fortaleza CEIF,Jhoiner Salas,0.01
Fortaleza CEIF,Emilio Aristizábal,0.0
